number;question;kategoria;zestaw;rating;answer;aiAnswer;law
35;"Jak
obliczamy powierzchnię wewnętrzną budynku? Wypowiedź proszę zilustrować
szkicami";L;Z18;;"</h2>
<p>WT<br/>
powierzchnia wewnętrzna – suma powierzchni wszystkich kondygnacji
budynku, mierzona po wewnętrznym obrysie przegród zewnętrznych, bez
pomniejszenia o przegrody wewnętrzne, ale z wyliczeniem pow
antresoli.</p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image22.png"" style=""width:3.20005in;height:3.35773in""/></p></th>";;
36;"Proszę
naszkicować przykładowe rozwiązanie mieszkania 3 pokojowego w budynku
mieszkalnym wielorodzinnym a następnie omówić zagadnienia
funkcjonalno-przestrzenne.";P;Z18;;</h2></th>;;
38;"Proszę
omówić warunki i podać przykłady oświetlenia wyłącznie światłem
sztucznym pomieszczeń przeznaczonych na pobyt ludzi.";P;Z22;;"</h2>
<p>WT Rozdział 2 Oświetlenie i nasłonecznienie<br/>
Dopuszcza się oświetlenie wyłącznie światłem sztucznym jeżeli:<br/>
oświetlenie dzienne nie jest konieczne lub nie jest wskazane ze względów
technologicznych<br/>
jest uzasadnione celowością funkcjonalną zlokalizowania tego
pomieszczenia w obiekcie podziemnym lub w części budynku pozbawionej
oświetlenia dziennego.<br/>
Takie pomieszczenia (z wył. Tych na cele obronności) należy uzgadniać z
właściwym państwowym wojewódzkim inspektorem sanitarnym w porozumieniu z
okręgowym.<br/>
Rozporządzenie MPiPS w sprawie przepisów bezpieczeństwa i higieny pracy.
§25<br/>
- W pomieszczeniach pracy stałej należy zapewnić oświetlenie dzienne,
chyba że jest to niemożliwe ze względu na technologię produkcji, a na
stosowanie oświetlenia wyłącznie elektrycznego pracodawca uzyskał zgodę
właściwego wojewódzkiego inspektora sanitarnego w porozumieniu z
okręgowym inspektorem sanitarnym.<br/>
- Stosunek wartości średnich natężenia w pomieszczeniach sąsiadujących z
sobą , przez które odbywa się komunikacja wewnętrzna nie powinien być
większy niż 5 do 1.<br/>
- Przy wyjściu z pomieszczeń w których musi być praca wykonywana w
ciemności (np. ciemnie optyczne) powinny być zapewnione warunki
umożliwiające stopniową adaptację wzroku.</p></th>";;
39;"Proszę
omówić rodzaje i sposoby rozwiązania podłóg przemysłowych, odpowiedź
ilustrując szkicami";P;Z22;;"</h2>
<p><strong>Jak w zestawie 10.</strong></p></th>";;
40;"Jakie
roboty budowlane nie wymagają wydania decyzji o ustaleniu lokalizacji
celu publicznego?";L;Z22;;"</h2>
<p>Ustawa o planowaniu i zagospodarowaniu przestrzennym Rozdział 5 LICP
i ustalenie WZ w odniesieniu do innych inwestycji Art. 50 pkt. 2<br/>
- polegające na remoncie, montażu lub przebudowie, jeżeli nie powodują
zmiany sposobu zagospodarowania terenu i użytkowania obiektu oraz nie
zmieniają jego formy architektonicznej, a także nie są zaliczane do
przedsięwzięć wymagających przeprowadzenia oceny oddziaływania na
środowisko<br/>
- nie wymagają pozwolenia na budowę</p></th>";;
42;"Proszę
omówić zasady projektowania schodów zewnętrznych";P;Z23;;"</h2>
<p>WT jakim powinny odpowiadać drogi §45 pkt 5<br/>
Wysokość stopnia chodnika nie może być większa niż 17,5 a szerokość od
30 do 35 cm<br/>
WT Rozdział 4 §68<br/>
Szerokość użytkowa schodów zewnętrznych do budynku powinna wynosić co
najmniej 1,2m przy czym nie może być mniejsza niż przyjęta z wymaganiami
odnośnie szerokości (tabelka)<br/>
Liczba stopni w jednym biegu nie powinna wynosić więcej niż 10.<br/>
Szerokość stopni zewnętrznych w UP i MW co najmniej 0,35m</p></th>";;
43;"Proszę
omówić rodzaje i sposoby rozwiązania tzw. zielonych dachów, wypowiedź
ilustrując szkicami";P;Z23;;"</h2>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image18.png"" style=""width:2.33651in;height:3.03492in""/></p></th>";;
44;"Realizacja
jakiś obiektów wymaga zgłoszenie do właściwego organu, w jakim terminie
i co należy określić w zgłoszeniu?";L;Z23;;"</h2>
<p>Ustawa Prawo Budowlane Art. 29, 30<br/>
- Zgłoszenia należy dokonać przed terminem zamierzonego rozpoczęcia
robót. Organ AAB w terminie 21 od dnia doręczenia zgłoszenia, może, w
drodze decyzji wnieść sprzeciw. Do wykonania robót można przystąpić
jeżelu organ nie wniósł sprzeciwu w tym terminie.<br/>
- W zgłoszeniu należy określić rodzaj, zakres, miejsce i sposób
wykonywanych robót budowlanych oraz termin ich rozpoczęcia.<br/>
Zgłoszenia wymagają m.in. :<br/>
- docieplenie budynków o wysokości nie przekraczającej 12m<br/>
- przebudowy budynków których budowa wymaga PnB z wyłączeniem przebudowy
przegród zewnętrznych oraz elementów konstrukcyjnych.<br/>
- instalowanie na obiektach urządzeń, w tym antenowych konstrukcji
wsporczych</p></th>";;
46;"Proszę
omówić warunki techniczne projektowania garaży
wielopoziomowych.";P;Z24;;"</h2>
<p>WT Garaże dla samochodów osobowych §102<br/>
- min wysokość 2,2 do spodu konstrukcji, do urządzeń instalacyjnych
2m.<br/>
- wrota garażowe min 2,3m i 2m wysokości<br/>
- pochylnie dla garażu 15% niezależnie czy zadaszone czy nie (dla
dwupoziomowego zadaszonego 20%) jeżeli przekracza 15% podjazd
karbowany.<br/>
- jeżeli jest dla więcej niż 25 samochodów na każdej kondygnacji
pochylnie dwupasmowe min 5,5 m lub jednopasmowe 2,7m.<br/>
- jeżeli mniej niż 25 samochodów na kondygnację dopuszcza się wyłącznie
jednopasmowe pod warunkiem sygnalizacji i kierunków ruchu.<br/>
- Droga manewrowa min 5m jeżeli stanowiska prostopadle, 4,5m jeżeli
60st, 3,5m jeżeli 45st. 3m jeżeli równolegle.<br/>
- odległość między dłuższym bokiem a ścianą min 0,3m, a między słupem a
ścianą 0,1 m pod warunkiem swobodnego otwarcia drzwi.<br/>
-garaż znajdujący się w budynku o innym przeznaczeniu powinien mieć
ściany i stropy zapewniające wymaganą izolację akustyczną oraz
szczelność uniemożliwiającą przenikanie spalin lub oparów paliwa do
sąsiednich pomieszczeń.<br/>
- garażu zamkniętym, powyżej 10 stanowisk, należy zapewnić wentylację
mechaniczną, sterowaną czujkami</p></th>";;
47;"Proszę
omówić rodzaje i sposoby rozwiązań wybranych elewacji systemowych, dla
budynków użyteczności publicznej, ilustrując wypowiedź
szkicami.";P;Z24;;"</h2>
<p>Elewacja wentylowana – np. z płyty włókno cementowej albo HPL
(elementy laminowane) lub Okładzina ceramiczna</p>
<p>Ściana osłonowa, kurtynowa -<img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image39.png"" style=""width:2.46314in;height:2.15893in""/></p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image13.png"" style=""width:2.3262in;height:2.48918in""/></p>
<p>Płyty warstwowe –</p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image25.png"" style=""width:2.47203in;height:2.14468in""/></p></th>";;
48;"Jakie
roboty nie wymagają decyzji o ustaleniu warunków zabudowy w przypadku
braku planu miejscowego?";L;Z24;;<strong>WRÓCIĆ</strong></h2></th>;;
50;"Jak
wyznaczamy odległość budynku z pomieszczeniami na pobyt ludzi od innych
obiektów umożliwiającą naturalne oświetlenie tych pomieszczeń?";P;Z25;;"</h2>
<p><strong>Jak w zestawie 1.</strong></p></th>";;
51;"Proszę
omówić i zilustrować szkicami sposoby zabezpieczenia przed wilgocią i
korozją biologiczną podziemnych i nadziemnych ścian budynku";P;Z25;;"</h2>
<p><strong>Jak w zestawie 1.</strong></p></th>";;
52;"Proszę
omówić wymagania dotyczące formy i zakresu strony tytułowej projektu
budowlanego";L;Z25;;"</h2>
<p>Rozporządzenie MR w sprawie szczegółowego zakresu i formy projektu
budowlanego §7.2<br/>
Na stronie tytułowej zamieszcza się:<br/>
- nazwę elementu projektu budowlanego którego ona dotyczy<br/>
-informację zamierzenia budowlanego:<br/>
- nazwę zamierzenia budowlanego<br/>
- adres i kategorię obiektu budowlanego<br/>
- identyfikatory działek ewidencyjnych, na których obiekt jest
usytuowany<br/>
- imię nazwisko lub nazwę inwestora oraz jego adres<br/>
-datę opracowania oraz imię nazwisko, specjalność, nr uprawnień
budowlanych osoby opracowującej daną część wraz z określeniem
zakresu<br/>
-podpis osoby ww. przy PZT PAB PT w wersji papierowej<br/>
-jeżeli projekt podlega sprawdzeniu to jak wyżej<br/>
- jeżeli liczba działek i/lub osób opracowujących nie mieści się na
jednej stronie dopuszcza się zał. Dos trony tytułowej<br/>
- w przypadku podziału na tomy umieszcza się numer tomu z informacją o
łącznej liczbie tomów</p></th>";;
54;"Proszę
przedstawić sposób w jaki architekt „uwzględnił” w projekcie zagadnienia
związane z wyposażeniem projektowanego budynki w instalacje i urządzenia
elektryczne";P;Z27;;"</h2>
<p>WT Rozdział 8 Instalacja elektryczna §180<br/>
- w budynkach w których zanik napięcia może spowodować zagrożenie życia
ludzi należy zasilać z co najmniej dwóch niezależnych ścieżek.<br/>
- Awaryjne oświetlenie zapasowe w których po zaniku oświetlenia istnieje
konieczność kontynuowania czynności w sposób niezmieniony.<br/>
- Awaryjne oświetlenie ewakuacyjne należy stosować w kinach teatrach i
salach widowiskowych, wystawach w muzeach, w garażach oświetlonych
wyłącznie światłem sztucznym o pow pow. 1000m2, UP,ZB PM o powierzchni
netto pow 2000m2. Na drogach ewakuacyjnych.<br/>
AWE powinno działać przez co najmniej 1 godzinę<br/>
<br/>
Pomieszczenie stacji transformatorowej może być w budynkach jeżeli
(zapewniona jest odpowiednia konstrukcja chroniąca przed drganiami i
hałasem) oraz pionowa i pozioma odległość od pomieszczeń przeznaczonych
na pobyt ludzi min 2,8m. ściany i stropy będą miały zabezpieczenia przed
przedostawaniem się cieczy i gazów<br/>
<br/>
PWP należy stosować w budynkach przekraczających 1000m3. Powinien być
umieszczony w pobliżu głównego wyjścia i odpowiednio oznakowany<br/>
<br/>
Główne ciągi instalacji elektrycznej należy prowadzić poza mieszkaniami
i pomieszczeniami na stały pobyt ludzi w wydzielonych kanałach lub
szybach instalacyjnych.</p></th>";;
55;"Proszę
wykonać szkic klatki schodowej, jednobiegowej w budynku ośrodku
zdrowia.
Klatka stanowi ewakuację dla 312 osób, wysokość do pokonania to
3,75m.
Następnie przedstawić zasady projektowania schodów i klatek w budynkach
użyteczności publicznej.";P;Z27;;"</h2>
<p>WT Rozdział 4 schody i pochylnie<br/>
375cm:15cm=25 st<br/>
szerokość biegu 0,6m-100os proporcjonalnie 1,872m na 312 osób ale bym
przyjął 2,4m</p></th>";;
56;"Proszę
omówić wymagania dotyczące formy i zakresu rysunków wchodzących w skład
projektu budowlanego.";L;Z27;;</h2></th>;;
58;"Do
jakich obiektów koniecznie jest doprowadzanie drogi
pożarowej?";PŻ;Z28;;"</h2>
<p>Rozporządzenie MSWiA w sprawie przeciwpożarowego zaopatrzenia w wodę
oraz dróg publicznych<br/>
Rozdział 6.<br/>
Drogi pożarowe o utwardzonej nawierzchni należy zapewnić:<br/>
- budynku ZL I i ZL II<br/>
- budynku SW W WW zawierającego strefę ZL III ZL IV ZLV<br/>
- budynku PM jeżeli Q &lt;500 MJ/m2 i powierzchnia strefa pożarowa
1000m2 lub jest strefa zagrożona wybuchem<br/>
- budynku PM jeżeli Q &lt;500 MJ/m2 i powierzchnia przekracza
20000m2<br/>
- budynku N ZL III powyżej 1000m2 nadziemna inna niż 1, ZL V mająca
ponad 50 miejsc noclegowych</p></th>";;
59;"Proszę
przedstawić zagadnienia związane z projektowaniem tzw. dachów zielonych,
wypowiedź ilustrując szkicami";P;Z28;;"</h2>
<p>Jak w zestawie 23.</p></th>";;
60;"Proszę
omówić wymagania dotyczące formy i zakresu części opisowej projektu
zagospodarowania terenu.";L;Z28;;"</h2>
<p><strong>Jak w zestawie 5.</strong></p></th>";;
62;"Proszę
omówić warunki i zasady usytuowania miejsc postojowych dla samochodów na
obszarze projektowanego osiedla domów mieszkalnych
wielorodzinnych.";L;Z31;;"</h2>
<p>Aaaa</p></th>";;
63;"Proszę
naszkicować przykładowe rozwiązanie pomieszczenia
higieniczno-sanitarnego dla osób niepełnosprawnych i na jego przykładzie
omówić problematykę projektowania takich miejsc.";P;Z31;;"</h2>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image1.png"" style=""width:2.36672in;height:2.34883in""/></p></th>";;
64;"Proszę
omówić wymagania dotyczące formy i zakresu strony tytułowej projektu
budowlanego.";L;Z31;;"</h2>
<p><strong>Jak w zestawie 25.</strong></p></th>";;
66;"Proszę
omówić problematykę usytuowania budynków w stosunku do granicy z działką
sąsiednią budowlaną.";L;Z33;;"</h2>
<p>WT Rozdział 1 usytuowanie budynku<br/>
- 4m od granicy ścianą z otworami, 3 m ścianą bez otworów.<br/>
-1,5 m daszki gzymsu<br/>
Jeżeli MPZP dopuszcza to budynek może być 1,5m.<br/>
Odległości do całkowicie podziemnej części budynku nie ustala się.<br/>
Zachowanie tych odległości nie jest wymagane gdy sąsiaduje się z działka
drogową.<br/>
<br/>
Odległość budynku ze względu na nasłonecznienie.</p></th>";;
67;"Proszę
omówić zagadnienia funkcjonalno-przestrzenne projektowania Sali
gimnastycznej wypowiedź ilustrując szkicami";P;Z33;;</h2></th>;;
68;"Jakie
dokumenty należy dołączyć do wniosku na rozbiórkę?";L;Z33;;"</h2>
<p>Prawo Budowlane Art. 30b.<br/>
- Rozbiórkę można rozpocząć po uzyskaniu decyzji na rozbiórkę, wydaje ją
organ AAB.<br/>
Do wniosku na rozbiórkę dołącza się:<br/>
-zgodę właściciela obiektu lub jej kopię.<br/>
- szkic usytuowania obiektu budowlanego<br/>
- opis zakresu i sposobu przeprowadzenia robót rozbiórkowych<br/>
- opis sposobu zapewnienia bezpieczeństwa ludzi i mienia<br/>
- pozwolenia uzgodnienia opinie i inne dokumenty których wniosek wynika
z odrębnych przepisów<br/>
- projekt rozbiórki lub jego kopię<br/>
Nie wymaga decyzji o pozwoleniu na rozbiórkę, ale wymaga zgłoszenia,
rozbiórka do 8m i odległość do granicy nie mniejsza niż połowa
wysokości.<br/>
Nie wymaga decyzji ani zgłoszenia rozbiórka, na które nie jest wymagane
pozwolenie na budowę i na terenach zamkniętych ustalonych decyzją
MON</p></th>";;
70;"Proszę
omówić warunki techniczne związane z usytuowaniem budynku na działce
budowlanej w stosunku do obiektów położonych na działkach
sąsiednich";L;Z34;;"</h2>
<p><strong>Jak w zestawie 33.</strong></p></th>";;
71;"Proszę
omówić zagadnienia funkcjonalno przestrzenne projektowania mieszkań i
budynków odpowiedź ilustrując szkicami";P;Z34;;</h2></th>;;
72;"Kiedy
konieczne jest uzyskanie pozwolenia na użytkowanie obiektu i jakie
dokumenty należy zgromadzić aby je uzyskać?";L;Z34;;"</h2>
<p>PB Art. 55 i Art. 57<br/>
Pozwolenie na użytkowanie należy uzyskać jeżeli:<br/>
-budynek należy do kategorii V, IX-XVI, XVIII, XX,XXII, XXIV, XXVII,
XXVIII-XXX<br/>
-przystąpienie do użytkowania ma nastąpić przed wykonaniem wszystkich
robót budowlanych<br/>
<br/>
Do zawiadomienia o zakończeniu budowy lub uzyskania pozwolenia na
użytkowanie należy dołączyć:<br/>
- oryginał dziennika budowy<br/>
-oświadczenie kierownika budowy: o zgodności wykonania obiektu
budowlanego z projektem oraz przepisami, o doprowadzeniu do należytego
stanu i porządku na terenie budowy a także – w razie korzystania- drogi
ulicy sąsiedniej nieruchomości.<br/>
-protokoły badań i sprawdzeń: przyłączy i instalacji, zapewniających
użytkowanie obiektu budowlanego zgodnie z przeznaczeniem<br/>
-dokumentację geodezyjną, z inwentaryzacją powykonawczą<br/>
- potwierdzenie zgodnie z odrębnymi przepisami, odbioru wykonanych
przyłączy</p></th>";;
74;"Proszę
omówić zasady stosowania dźwigów towarowych w budynku użyteczności
publicznej.";P;Z41;;"</h2>
<p>PB §193<br/>
- co najmniej jeden z dźwigów powinien powinien być przystosowany do
przewozu mebli, chorych na noszach i osób niepełnosprawnych.<br/>
- dostęp do dźwigu powinien być zapewniony z każdej kondygnacji
użytkowej.<br/>
- różnica między podłogą dźwigu a podłogą kondygnacji nie powinna być
większa niż 0,02m<br/>
- odległość pomiędzy zamkniętymi drzwiami dźwigu a przeciwległą ścianą
powinna wynosić co najmniej – dla dźwigów towarowych i szpitalnych -3m,
towarowych małych – 1,8 m a osobowych 1,6m</p></th>";;
75;"Proszę
omówić problemy projektowania Sali kinowej, ilustrując wypowiedź
szkicami";P;Z41;;"</h2>
<p>WT §181<br/>
- budynek w którym zanik napięcia w sieci elektrycznej może spowodować
zagrożenie życia lub zdrowia—należy zasilać z co najmniej dwóch
niezależnych, samoczynnie załączających się źródeł.<br/>
W kinach teatrach należy stosować oświetlenie awaryjne.</p></th>";;
76;"Proszę
omówić wymagania dotyczące formy i zakresu części rysunkowej projektu
zagospodarowania terenu.";L;Z41;;</h2></th>;;
78;"Proszę
omówić zasady i warunki dotyczące zastosowania dźwigów osobowych w
budynku biurowym zaliczanym do grupy WW";P;Z46;;"</h2>
<p>WT §253<br/>
W budynku mającym posadzkę powyżej 25m nap ppp przynajmniej jeden dźwig
powinien być przystosowany do potrzeb ekipy ratowniczej spełniając
wymagania PN dla dźwigów straży pożarnej. Dźwig powinien zapewniać
dostęp do każdej strefy pożarowej bezpośrednio lub drogami komunikacji
ogólnej.<br/>
Dojście do dźwigu powinno prowadzić przez przedsionek przeciwpożarowy
spełniający wymagania §232 (stropy i ściany z materiałów niepalnych,
otwory z przedsionkami ppoż.<br/>
Ściany i stropy powinny mieć klasę odporności wymaganą dla budynku
zgodnie z §216<br/>
Szyb dźwigu dla ekip powinien być wyposażony w urządzenia zapobiegające
zadymieniu.</p></th>";;
79;"Proszę
omówić i zilustrować problemy z miejscami gromadzenia odpadów w
zabudowie jednorodzinnej.";P;Z46;;"</h2>
<p>Odległość miejsca gromadzenia odpadów co najmniej 10 m- od okien i
drzwi na stały pobyt ludzi<br/>
3m od granicy działki<br/>
10 m od placów zabaw i miejsc rekreacji.<br/>
Zachowanie w odległości nie jest wymagane jeżeli stykają się z podobnymi
na działce sąsiedniej.<br/>
W przypadku zabudowy jednorodzinnej, zagrodowej, odległości nie określa
się.</p></th>";;
80;"Proszę
omówić sposób wyznaczania elewacji frontowej działce objętej wnioskiem o
ustalenie wz";L;Z46;;"</h2>
<p>Na podstawie średniej wartości szerokości elewacji frontowych
istniejącej zabudowy na działkach w obszarze analizowanym z tolerancją
ok 20%</p></th>";;
82;"Podany
był przekrój przez salę sportową, omówić zagadnienie widoczności,
uzupełnić rysunek, co to jest przewyżka";P;D_Z1;;"</h2>
<ul>
<li><p>uwaga: Neufert - urządzenia sportowe</p></li>
</ul></th>";;
83;"Klasyfikacja
ppoż: kamienica, 4 kondygnacje po 3,5 m, wysokość budynku 15,6
m";PŻ;D_Z1;;"</h2>
<ul>
<li><p>uwaga: budynek mieszkalny, więc mimo, że powyżej 12 m to niski i
ZL IV</p></li>
</ul></th>";;
84;"Odpowiedzialność
zawodowa architektów";L;D_Z1;;"</h2>
<ul>
<li><p>Rozp. o samorządach + Prawo Budowlane rozdział 10 + o OC</p></li>
</ul></th>";;
85;"Praktyka
projektowa, omówić wszystko związane z ppoż włącznie z
PZT";ZPP;D_Z1;;"</h2>
<ul>
<li><p>omówione, ZL II + PM dzielone na dwie strefy PM (hala + pom.
elektr.). , PZT - brak drogi ppoż.; rzuty - klatka -niewydzielona,
dojście max 30m., w tym max 20m na poziomie.</p></li>
</ul></th>";;
86;"Praktyka
budowlana, omówić chronologicznie etapy konstrukcji budynku +
szkice";ZPB;D_Z1;;"</h2>
<h1 id=""section""><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image19.png"" style=""width:2.40838in;height:1.20033in""/></h1></th>";;
88;"Dokumenty
potrzebne do wniosku o pozwolenie na rozbiórkę (zapytali kiedy jest
wymagane pozwolenie na rozbiórkę).";L;MZ_Z4;;"</h2>
<p>Dołącza się zgodę właściciela, szkic usytuowania, opis zakresu i
sposobu prowadzenia prac, opis sposobu zapewnienia bezpieczeństwa ludzi
i mienia, wymagane pozwolenia i uzgodnienia, projekt rozbiórki (jak
wymagany)</p>
<p>Nie wymaga pozwolenia jak jest niższy budynek niż 8 m i odległość do
granicy mniejsza niż połowa wysokości i jak nie wymaga pozwolenia na
budowę + artykuł 31 PB</p></th>";;
89;"Narysować
mieszkanie dla paru małżonków z których jedno jest
niepełnosprawne.";P;MZ_Z4;;"</h2>
<h2 id=""section-1""></h2>
<h2 id=""section-2""><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image35.png"" style=""width:2.40838in;height:1.20033in""/></h2></th>";;
90;"Jakie
inwestycja nie wymagają decyzji o warunkach zabudowy lub decyzji o
lokalizacji inwestycji celu publicznego.";L;MZ_Z4;;"</h2>
<ul>
<li><p>Jak jest MPZP</p></li>
</ul>
<ul>
<li><p>Decyzja o Inwestycji celu publ - Ustawa Planów. i zag.
prz:</p></li>
</ul>
<p>Art. 50. [Zasady lokalizacji inwestycji celu publicznego]</p>
<p>2.</p>
<p>Nie wymagają wydania decyzji o ustaleniu lokalizacji inwestycji
celu</p>
<p>publicznego roboty budowlane:</p>
<p>1)</p>
<p>polegające na remoncie, montażu lub przebudowie, jeżeli nie
powodują</p>
<p>zmiany sposobu zagospodarowania terenu i użytkowania obiektu</p>
<p>budowlanego oraz nie zmieniają jego formy architektonicznej, a także
nie są</p>
<p>zaliczone do przedsięwzięć􀅿 wymagających przeprowadzenia
postępowania</p>
<p>w sprawie oceny oddziaływania na 􀉸środowisko, w rozumieniu przepis􀈲w
o</p>
<p>ochronie 􀉸środowiska, albo</p>
<p>2)</p>
<p>niewymagające pozwolenia na budowę.</p>
<ul>
<li><p>DWZ - nie wymagana jest jak nie zmienia zagospodarowania terenu
(np. remont) albo jest to tymczasowa zmiana terenu trwająca krócej niż
rok.</p></li>
</ul></th>";;
91;"PROJEKTOWA:
jakie problemy przy projektowaniu budynku wielorodzinnego
napotkałam.";ZPP;MZ_Z4;;</h2></th>;;
92;"BUDOWA:
jakie prace i procedury były związane z budową nabrzeża i stanowisk
linowych. (procedury chodziło o odbiorowe ja się zasugerowałam że
administracyjne)";ZPB;MZ_Z4;;</h2></th>;;
94;"PZT
z budynkiem jednorodzinnym - wrysować szczelny zbiornik na nieczystości
i studnię kopaną. podać odległości od drogi, granicy działki, budynku i
wzajemne.";P;MZ_Z5;;</h2></th>;;
95;"Omówić ocieplenie
budynków";P;MZ_Z5;;"</h2>
<p>Do 12 m bez zgłoszenia, 12 - 25 zgłoszenie, powyżej 25 -
pozwolenie</p>
<p>Powyżej 25% ocieplenia trzeba zapewnić spełnienie WT</p>
<p>Powyżej 25 m - niepalne (wełna)</p></th>";;
96;"prawa i
obowiązki architekta - nadzór autorski";L;MZ_Z5;;"</h2>
<p>Prawa i obowiązki z PB. NA jest obowiązkiem projektanta, może być do
niego zobowiązany przez inwestora, brak wykonywania NA skutkuje
pociągnięciem do odpowiedzialności zawodowej.</p></th>";;
97;"praktyka
projektowa - omówić p.poż (bud. mieszkalny z garażem podziemnym +
pzt)";ZPP;MZ_Z5;;</h2></th>;;
98;"praktyka
budowlana - omówić roboty i odbiory do stanu ""0"" w
budynku";ZPB;MZ_Z5;;</h2></th>;;
100;"Narysowany
był budynek z 4 kondygnacjami naziemnymi mieszkalnym i jedna podziemna -
garażem. Określić klasę budynku, klasę odporności ogniowej głównej
konstrukcji i dachu, długość dojść";PŻ;D_Z6(P+K);;"</h2>
<p>Budynek N, reszta z WT</p></th>";;
101;"Kiedy w
projekcie budowlanym nie trzeba PZT";L;D_Z6(P+K);;"</h2>
<p>Art. 34.</p>
<p>3.</p>
<p>Projekt budowlany zawiera:</p>
<p>1)</p>
<p>projekt zagospodarowania działki lub terenu sporządzony na
aktualnej</p>
<p>mapie do celów projektowych lub jej kopii, obejmujący:</p>
<p>3a.</p>
<p>Przepisu ust. 3 pkt 1 nie stosuje się do projektu budowlanego
przebudowy lub</p>
<p>montażu obiektu budowlanego, jeżeli, zgodnie z przepisami o</p>
<p>zagospodarowaniu przestrzennym, nie jest wymagane ustalenie
warunków</p>
<p>zabudowy i zagospodarowania terenu.</p></th>";;
102;"Przesłanianie,
nasłonecznienie";P;D_Z6(P+K);;"</h2>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image12.png"" style=""width:2.35029in;height:2.00675in""/></p></th>";;
104;"Rzut
mieszkania . Zaprojektować mieszkanie dla 4 osobowej rodziny z
uwzględnieniem pracy w systemie home office";P;MZ_Z7;;</h2></th>;;
105;"Dojście
ewakuacyjne. Zasady projektowania. ( Dopytka o drzwi pożarowe, od czego
zależy długość dojść i wszystko cokolwiek z nimi związane w
przepisach)";PŻ;MZ_Z7;;"</h2>
<p>WT</p></th>";;
106;"Paroizolacja....nie
pamiętam dokładnie pytania...chodziło żeby wymienić rodzaje , wszystko
co się o nich wie. Plus rysunkowe dotyczące drenażu powierzchniowego.
Dopytka a wręcz intensywna dyskusja nt drenażu. Warto doczytać. Pytanie
wzbudziło dużo kontrowersji.";P;MZ_Z7;;"</h2>
<p>Paroizolacja - tradycyjna - opóźniacz pary np folia PE</p>
<ul>
<li><p>bitumiczna i aluminiowa - bariery parowe - zupełnie
szczelne</p></li>
</ul>
<ul>
<li><p>aktywna - regulator pary - dwie/trzy warstwy polipropylenu -
gromadzi nadmiar wilgoci i stopniowo go oddaje - pod warstwą
dachu</p></li>
</ul>
<p>Drenaż powierzchniowy:</p>
<ul>
<li><p>od wewnętrznej strony ławy, pod podłogą na gruncie</p></li>
</ul>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image26.png"" style=""width:2.47018in;height:1.54452in""/></p>
<ul>
<li><p>Podobnie, jak przy drenażu opaskowym, przewody drenarskie
(sączki) układamy w obsypce filtracyjnej z zastosowaniem
geowłókniny.</p></li>
</ul>
<ul>
<li><p>wykonuje się przy wysokim poziomie wód gruntowych i
niekorzystnych warunkach glebowych. Ma za zadanie odprowadzać nadmiar
wody gromadzącej się przy ławach fundamentowych. Żeby nie zalało
piwnicy</p></li>
<li><p>wykorzystuje się rurę drenarską z dziurkami</p></li>
<li><p>można połączyć z systemem drenażu opaskowego:</p></li>
</ul>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image2.png"" style=""width:2.31842in;height:1.45274in""/></p></th>";;
107;"Pytanie
było bardzo szeroko pojęte...z grubsza chodziło o to jak etapowana była
praca z rzeczoznawcą ppoż. W jaki sposób wyglądała praca rzeczoznawcy
przy uzgadnianiu obiektów...( W moim przypadku elektrociepłownia i
kilkadziesiąt obiektów)";ZPP;MZ_Z7;;</h2></th>;;
108;"Sposób
wykonania płyty fundamentowej krok po kroku.";ZPB;MZ_Z7;;</h2></th>;;
