number,numberP,question,kategoria,zestaw,rating,answer,aiAnswer,law
,,"Eksploatacja przewodów kominowych (ZESTAW XX, pytanie 1, co kiedy kontrolujemy)",zB_KOMIN,,,"<p>Zakres badania technicznego przy kontroli okresowej obejmuje sprawdzenie:</p><p>drożności przewodów kominowych,</p><p>siły ciągu kominowego - ustalonego przy pomocy atestowanego urządzenia pomiarowego zapewniającego prawidłowe działanie podłączonych urządzeń dymowych, spalinowych, wentylacyjnych,</p><p>występowanie uszkodzeń przewodów na całej ich długości, kanałów, czopuchów, włazów - ław kominowych, nasad kominowych itp..,</p><p>posiadanie sprawnie działających urządzeń wentylacyjnych, w tym: nawiewnych i wywiewnych, przez pomieszczenia (lokale), w których zainstalowane są urządzenia grzewcze (trzony kuchenne, piecyki wody przepływowej, kotły c.o, itp.)</p><p>regularność odbywania, okresowych czyszczeń przewodów kominowych:</p><p>- wentylacyjnych - 1 x rok, - spalinowych - 2 x rok, - dymowych - 4 x rok</p><p>istnienia dogodnego dostępu do czyszczenia i przeprowadzania okresowych kontroli przewodów kominowych i urządzeń mających związek z kominami,* występowania innych stwierdzonych w trakcie kontroli nieprawidłowości, mogących spowodować zagrożenie bezpieczeństwa ludzi lub mienia.</p><p>Z tak wykonanego przeglądu przewodów kominowych należy sporządzić protokół stanowiący dokument pokontrolny wymagany prawem budowlanym, przechowywany łącznie z książką obiektu</p>",,
,,"Konstrukcja komina, odległości, materiały - murowane z pełnych cegieł ceramicznych",zB_KOMIN,,,"<p>-prefabrykowany,  np. schiedel</p><p>stalowe</p><p>Nad dachem często obmurowany klinkierem</p><p>Norma: Przewody dymowe, spalinowe, wentylacyjne, murowane: Na dachu płaskim, gdy do przegrody mniej niż 1,5m – komin 0,3 wyżej niż przegroda, do przegrody 1,5-3m – komin na wysokość jak przegroda, ponad 3m tak aby kąt max 12 st, przy dachu płaskim o kącie nachylenia połaci do 12 st, niezależnie od konstrukcji dachu – 0,6m powyżej kalenicy, na dachu stromym (ponad 12 st) przy pokryciu łatwo zapalnym – 0,6 m powyżej kalenicy, przy pokryciu niepalnym – 0,3 od pokrycia i 1m w kierunku poziomym.Otwory wycierowe przewodów dymowych powinny znajdować się w piwnicy 1-1,2 od podłogi, dolna krawędź otworu wycierowego w pomieszczeniu  w pomieszczeniach, w których znajduje się wlot 0,3 od podłogi, otwory rewizyjne w przewodach spalinowych, powinny znajdować się 0,4 niżej niż wlot.</p>",,
,,Obróbki blacharskie kominowe,zB_KOMIN,,,"<p>Metoda twarda</p><p>Każde połączenie połaci dachowej ze ścianą (obojętnie, czy jest to ściana, komin, czy jakikolwiek inny element pionowy) powinna składać się z co najmniej dwóch elementów: obróbki dolnej zamocowanej do konstrukcjidachu oraz obróbki górnej zamocowanej do ściany (muru, komina itd.) Tylko takie wykonanie obróbki umożliwi zniwelowanie ruchów (pracy) więźby dachowej względem elementów stałych (np. komina).Z blachy formuje się zwykle cztery główne elementy: przedni, tylny i dwa boczne. W zależności od wysokości komina, każdy z tych czterech elementów będzie składał się z jednego lub dwóch pasów blachy.</p><p>Pionowe części obróbki komina powinny mieć wysokość 30 cm i być szczelnie połączone z jego ścianą. Najlepiej,jeśli komin wymuruje się z niewielkim podcięciem, w którympotem ułoży się obróbkę (zwaną wydrą). Poziome (leżące napokryciu) części obróbki powinny mieć co najmniej 10 cmszerokości od strony okapu i 20 cm od kalenicy (ta krawędźkomina jest najbardziej narażona na przecieki).</p><p>Uwaga! Jeśli szerokość komina jest większa niż 100 cm, przy jego</p><p>tylnej ścianie powinno stosować się ostrokątne odboje (nazywane kozubkami), które ochronią go przedstrugami wody deszczowej oraz gromadzeniem się śniegu. Na rys. przedstawiono połączenia blach sztywnychprzy kominie.</p><p>Obróbka komina - mocowanie</p><p>Aby zamocować jeden pas blachy, trzeba wykonać nacięcie ścian komina na grubość ok. 2 cm, zachowując odpowiedni kąt. W nacięcie wykonane po obrysie komina wprowadza się zagiętą blachę. Miejsce łączenia obróbki z powierzchnią komina (np. cegłami) należy uszczelnić silikonem dekarskim. Natomiast jeśli obróbka wykonana jest z dwóch pasów, drugi umieszcza się pod pierwszą obróbką (aby zapobiec dostawaniu się wody) i mocuje do komina kołkami. Poziomy fragment obróbki może być wypuszczony na dachówkę lub schowany pod pokrycie. Poszczególne elementy należy łączyć na tzw. rąbek stojący, a w przypadku większych kawałków, wzmocnić połączenie nitami.</p><p>Aby uszczelnienie komina było skuteczne, ważne jest nie tylko odpowiednie łączenie blachy.</p><p>Równie ważne jest, aby odpowiednio przygotować miejsce montowania obróbki. Podkład dachowy, czyli papę lub folię, należy w tym miejscu ułożyć z naddatkiem. Po wykończeniu komina, dodatkowy fragment podkładu wywija się na powierzchnię komina i mocuje specjalną taśmą lub papiakami.</p><p>Układając pokrycie dachowe wokół komina, trzeba pozostawić szczelinę, żeby dach mógł pracować, a dachówki nie pękały.</p><p>Główne elementy obróbki układa się w następującej kolejności: najpierw dół komina, potem boki i na koniec – tył. Dzięki temu woda opadowa nie będzie przenikać do wnętrza po kominie, tylko spływać na kolejne elementy obróbki, a następnie na pokrycie i do rynien.</p><p>Obróbka komina w jego tylnej części wymaga szczególnej staranności, zwłaszcza, jeśli komin jest znacznie oddalony od kalenicy poziomej. W tym miejscu gromadzi się woda opadowa lub śnieg oraz różnego rodzaju biologiczne odpady, np. liście drzew czy gałązki. Należy wówczas wykonać specjalną obróbkę, np. znacznie wyższą (powyżej 30-40 cm) lub o specyficznym kształcie, tzw. siodło.</p><p>Metoda miękka</p><p>Dostępne są  również taśmy dekarskie aluminiowe lub ołowiane, które z jednej strony pokryte są warstwą farby nanoszonej metodą proszkową, a z drugiej (przyczepnej) – powleczone klejem butylowym (klej zapewnia szczelne połączenie z kominem i pokryciem). Taśmę łatwo się tnie na odpowiedniej długości odcinki, a po oderwaniu pasków ochronnych przykleja do uprzednio oczyszczonej powierzchni komina i dachówek. Boczne odcinki powinny mieć długość min. 15 cm z każdej strony (zobacz na zdjęciu). Poszczególne elementy łączy się ze sobą, zaginając jednocześnie krawędzie łączonych części i tworząc w ten sposób tzw. rąbek stojący</p><p>Obróbek blacharskich wymagają:</p><p>kosze czyli zagłębienia w linii styku dwóch przylegających połaci dachowych. Kosze zbierają wodę spływającą z dachu. Do</p><p>Prawidłowe połączenie obróbki z kominem można wykonać na trzy sposoby:</p><p>obróbek tego elementu stosuje się rynny koszowe w kształcie litery „V”, którymi woda spływa do rynien i rur spustowych.</p><p>pasy nadrynnowe i podrynnowe – są zabezpieczane blachą uformowaną w kształcie litery „L”. Dolna krawędź ma kształt kapinosa (ukośne i wyżłobione podcięcie, po którym spływająca woda odrywa się i nie zalewa ściany).</p><p>kominy	- 	obróbkąblacharską 	jest 	blaszanykołnierz, 	który 	zakrywaszczelinę 	między 	ścianąkomina a pokryciem dachu.	okna połaciowe i włazy - 	jeśli 	okna 	nie 	są sprzedawane w komplecie z fartuchem 	uszczelniającym, obróbkę można zrobić z tego samego 	materiału 	co pozostałe obróbki.</p><p>miejsca 	połączenia dachu ze ścianą, lukarną itp. – mury nieosłonięte okapem dachowym zabezpiecza się obróbkami wyprofilowanymi, tak aby woda nie spływała po ścianie.</p><p>szczytdachu wykańcza się obróbką blacharską zwaną wiatrownicą.</p><p>Rodzaje blach na obróbki</p><p>Materiały z których wykonuje się obróbki to:</p><p>blacha stalowa ocynkowana grubości 0,6–0,8 mm. Dodatkowo może mieć warstwę plastizolu lub poliestru. Powłoki te chronią blachę przed korozją i zarysowaniem. Malowana jest farbą w standardowych kolorach. Jej trwałość szacuje się na 30–50 lat.</p><p>blacha cynkowa lub tytanowo-cynkowa grubości 0,6–0,7 mm. Nie wymaga konserwacji i jest trwalsza od blachy stalowej (około 70-100 lat). Jednak w niskich temperaturach jest krucha i łamliwa. Wymaga więc szczególnej ostrożności przy wykonywaniu robót zimą. Niektórzy producenci zalecają, by przy temperaturze poniżej 10°C, obrabiane miejsca nagrzewać. Blachy cynkowej nie powinno się łączyć z miedzią, ponieważ przyspiesza to korozję. Pod blachę cynkową stosuje się specjalne maty, które zapewniają odpowiednią wentylację. Przy porównaniu cenowym z innymi materiałami należy więc doliczyć wartość maty.</p><p>blacha miedziana grubości 0,55–0,65 mm. Jest plastyczna, odporna na korozję i nie wymaga konserwacji. Trwałość tego materiału szacuje się nawet na 300 lat. Pod wpływem wilgoci pokrywa się charakterystycznym zielonym nalotem - patyną. Nie wolno łączyć miedzi z cyną, a wszystkie akcesoria muszą być wykonane z miedzi lub mosiądzu.</p><p>blacha aluminiowa grubości 0,7 mm. Blachę pokrywa się farbą w kolorach białym, brązowym lub czarnym. Zarówno elementy mocujące jak i obróbki, muszą być wykonane z tego samego materiału, między innymi po to, żeby „starzały” się w tym samym tempie.</p><p>Do montażu obróbek stosujemy:</p><p>specjalne gwoździe malowane, z podkładką lub bez podkładki,</p><p>blachowkręty o różnych kształtach łebka i kolorach,</p><p>żabki stałe i ruchome, pozwalają na zamocowanie obróbki bez dziurawienia. Umożliwiają także wydłużenie i kurczenie się obróbki bez zmiany miejsca zamocowań.</p>",,
,,omówić przewody kominowe,zB_KOMIN,,,"<p>- murowane z pełnych cegieł ceramicznych</p><p>-prefabrykowany, np. schiedel</p><p>- stalowe</p><p>WT rozdział 5; Przewody kominowe: wentylacyjne, spalinowe, dymowe, prowadzi się w ścianach,</p><p>obudowach, połączone z konstrukcją lub stanowiące konstrukcje samodzielne, powinny mieć</p><p>wymiary, sposób prowadzenia i wysokość, stwarzające odpowiedni ciąg, przepustowość i spełniać</p><p>Normy, powinny być szczelne:</p><p>Średnica przewodów spalinowych stalowych 0,12, murowanych 0,14m, przewody wentylacyjne</p><p>0,016m2, najmniejszy wymiar 0,1</p><p>Zabrania się stosowania zbiorczych przewodów grawitacyjnych.</p><p>Nad dachem często obmurowany klinkierem</p><p>Norma: Przewody dymowe, spalinowe, wentylacyjne, murowane:</p><p>- Na dachu płaskim:</p><p>* gdy do przegrody mniej niż 1,5m – komin 0,3 wyżej niż przegroda,</p><p>* do przegrody 1,5-3m – komin na wysokość jak przegroda,</p><p>* ponad 3m tak aby kąt max 12 st,</p><p>- Na dachu płaskim o kącie nachylenia połaci do 12 st, niezależnie od konstrukcji dachu – 0,6m powyżej kalenicy,</p><p>- Na dachu stromym (ponad 12 st) przy pokryciu łatwo zapalnym – 0,6 m powyżej kalenicy, przy pokryciu niepalnym – 0,3 od pokrycia i 1m w kierunku poziomym.</p><p>Otwory wycierowe przewodów dymowych powinny znajdować się w piwnicy 1-1,2 od podłogi, dolna krawędź otworu wycierowego w pomieszczeniu w pomieszczeniach, w których znajduje się wlot 0,3 od podłogi, otwory rewizyjne w przewodach spalinowych, powinny znajdować się 0,4 niżej niż wlot.</p>",,
,,Średnice przekrojów przewodów wentylacyjnych i kominowych,zB_KOMIN,,,"<p>Średnica przewodów spalinowych stalowych 0,12, murowanych 0,14m, przewody wentylacyjne</p><p>0,016m2, najmniejszy wymiar 0,1; piece i kotły na paliwo stałe, kominki z otwartym paleniskiem:0,14 x 0,14, średnica 0,15</p>",,
,,Różnice między kanałem dymowym a przewodem spalinowym,zB_KOMIN,,,"<p>Przewody dymowe są przeznaczone do urządzeń grzewczych na paliwo stałe (w tym kominek).</p><p>Przewody spalinowe – do. Muszą być bardziej od dymowych odporne na zawilgocenie, bowiem spaliny są chłodniejsze od dymu.</p><p>Z tych pochodzących ze spalania gazu wkrapla się woda w temperaturze 50-60°C, ze spalania oleju – w temperaturze 140-160°C. Spaliny zawierają m.in. składniki chemicznie agresywne – przewody muszą więc być kwasoodporne.</p><p>Uwaga: Do przewodu spalinowego nie wolno podłączać kominka.</p>",,
,,praca na kominach i masztach,zB_KOMIN,,,,,
,,"Przewody kominowe, warunki ogólne, odległości",zB_KOMIN,,,"<p>WT rozdział 5; Przewody kominowe: wentylacyjne, spalinowe, dymowe, prowadzi się w ścianach, obudowach, połączone z konstrukcją lub stanowiące konstrukcje samodzielne, powinny mieć  wymiary, sposób prowadzenia i wysokość, stwarzające odpowiedni ciąg, przepustowość i spełniać Normy, powinny być szczelne:</p><p>Średnica przewodów spalinowych stalowych 0,12, murowanych 0,14m, przewody wentylacyjne</p><p>0,016m2, najmniejszy wymiar 0,1</p><p>Zabrania się stosowania zbiorczych przewodów grawitacyjnych.</p><p>Norma: Przewody dymowe, spalinowe, wentylacyjne, murowane: Na dachu płaskim, gdy do przegrody mniej niż 1,5m – komin 0,3 wyżej niż przegroda, do przegrody 1,5-3m – komin na wysokość jak przegroda, ponad 3m tak aby kąt max 12 st, przy dachu płaskim o kącie nachylenia połaci do 12 st, niezależnie od konstrukcji dachu – 0,6m powyżej kalenicy, na dachu stromym (ponad 12 st) przy pokryciu łatwo zapalnym – 0,6 m powyżej kalenicy, przy pokryciu niepalnym – 0,3 od pokrycia i 1m w kierunku poziomym.</p><p>Otwory wycierowe przewodów dymowych powinny znajdować się w piwnicy 1-1,2 od podłogi, dolna krawędź otworu wycierowego w pomieszczeniu  w pomieszczeniach, w których znajduje się wlot 0,3 od podłogi, otwory rewizyjne w przewodach spalinowych, powinny znajdować się 0,4 niżej niż wlot.</p>",,
,,użytkowanie przewodów kominowych (dymowe i spalinowe i wentylacyjne),zB_KOMIN,,,"<p>- Przewody kominowe dzielimy na: dymowe, spalinowe i wentylacyjne. W budynkach (za wyłączeniem domków jednorodzinnych, zagrodowych) podlegają one obowiązkowej kontroli okresowej.</p><p>-Zakres badania technicznego przy kontroli okresowej obejmuje sprawdzenie:</p><p>* drożności przewodów kominowych,</p><p>* siły ciągu kominowego - ustalonego przy pomocy atestowanego urządzenia pomiarowego zapewniającego prawidłowe działanie podłączonych urządzeń dymowych, spalinowych, wentylacyjnych,</p><p>* występowanie uszkodzeń przewodów na całej ich długości, kanałów, czopuchów, włazów - ław kominowych, nasad kominowych itp..,</p><p>* posiadanie sprawnie działających urządzeń wentylacyjnych, w tym: nawiewnych i wywiewnych, przez pomieszczenia (lokale), w których zainstalowane są urządzenia grzewcze (trzony kuchenne, piecyki wody przepływowej, kotły c.o, itp.)</p><p>*istnienia dogodnego dostępu do czyszczenia i przeprowadzania okresowych kontroli przewodów kominowych i urządzeń mających związek z kominami,</p><p>* występowania innych stwierdzonych w trakcie kontroli nieprawidłowości, mogących spowodować zagrożenie bezpieczeństwa ludzi lub mienia.</p><p>Z tak wykonanego przeglądu przewodów kominowych należy sporządzić protokół stanowiący dokument pokontrolny wymagany prawem budowlanym, przechowywany łącznie z książką obiektu</p><p>* regularność odbywania, okresowych czyszczeń przewodów kominowych:</p><p>- wentylacyjnych - 1 x rok, - spalinowych - 2 x rok, - dymowych - 4 x rok.</p>",,
,,W jakich budynkach można stosować kominy z otwartym lub zamkniętym paleniskiem,zB_KOMIN,,,"<p>Zgodnie z § 132 ust. 3 kominki opalane drewnem z otwartym paleniskiem lub zamkniętym wkładem kominkowym mogą być instalowane wyłącznie w budynkach jednorodzinnych, mieszkalnych w zabudowie zagrodowej i rekreacji indywidualnej oraz niskich budynkach wielorodzinnych, w pomieszczeniach:</p><p>o kubaturze wynikającej ze wskaźnika 4 m3/kW nominalnej mocy cieplnej kominka, lecz nie mniejszej niż 30 m3,</p><p>spełniających wymagania dotyczące wentylacji, o których mowa w § 150 ust. 9, 3) posiadających przewody kominowe określone w § 140 ust. 1 i 2 oraz § 145 ust. 1, 4) w których możliwy jest dopływ powietrza do paleniska kominka w ilości:</p><p>co najmniej 10 m3/h na 1 kW nominalnej mocy cieplnej kominka - dla kominków o obudowie zamkniętej,</p><p>zapewniającej nie mniejszą prędkość przepływu powietrza w otworze komory spalania niż 0,2 m/s - dla kominków o obudowie otwartej.</p>",,
,,"Zasady umieszczenia w kominach czyszczaków, rewizji…",zB_KOMIN,,,"<p>Otwory wycierowe w piwnicach 1-1,2m od podłogi, zamknięte hermetycznymi drzwiczkami. Dolna krawędź otworu wycierowego przewodu palenisk usytuowanych w pomieszczeniach, w których znajduje się wlot,powinna znajdować się na wysokości 0,3m od podłogi. (Majster str. 408-409)</p>",,
,,"Zaprojektuj wysokość komina w odległości od ściany D = 2,5 i wysokości ściany H = 3,0m",zB_KOMIN,,,"<p>=3,0 − 0,2126 ∗ 8     -----&gt;   x = 1,30 m    warunek    &gt;    0,3m ------&gt;x = 1,30 m</p>",,
,,Naprawa posadzki przemysłowej w hali 40x40m,zB_PODŁOGA,,,"<p>Proces obróbki nawierzchni metodą szlifowania przeprowadza się z wykorzystaniem dysków diamentowych oróżnych stopniach gradacji. Pierwszy etap szlifowania, który decyduje o uzyskaniu perfekcyjnie równegopoziomu, wykonuje się dyskami metalowymi o najniższej gradacji, stopniowo wymienianymi w maszynieszlifierskiej na dyski o wyższym stopniu gradacji. Celem tego procesu jest również wyeliminowanie wszelkich wad materiałowych takich, jak pylenie czy łuszczenie się matrycy cementowej. W przypadku wystąpienia bądź odsłonięcia ubytków w nawierzchni, wypełnia się je za pomocną specjalistycznych preparatów, przeznaczonych do napraw posadzek szlifowanych. Po zakończeniu tego etapu posadzka musi być odkurzona i zmyta. Na takprzygotowane i osuszone podłoże metodą natryskową aplikowany jest chemiczny pielęgnator, a zarazemutwardzacz i uszczelniacz nawierzchni. Pielęgnator na bazie krzemianu litu głęboko penetruje warstwę wierzchnią betonu, a reagując z wolnym wodorotlenkiem wapnia, tworzy twardą, wytrzymałą szczelną i zwartą strukturę. Dzięki zastosowaniu preparatu pielęgnującego, nawierzchnia jest zabezpieczona przed pyleniem, przenikaniem substancji płynnych (olej, roztwory soli), wilgocią oraz alkalicznymi wykwitami. Twarda, odporna na ścieranie powierzchnia, pozostaje przez cały czas strukturą paroprzepuszczalną, co zapobiega powstawaniu destrukcyjnych ciśnień wewnątrz płyty posadzki i zasadniczo przedłuża jej żywotność. W drugim etapie processzlifowania odbywa się z użyciem plastikowych tarcz szlifierskich, co prowadzi do ostatecznej eliminacji płytkichrys w nawierzchni. A po zakończeniu fazy obróbki posadzki z zastosowaniem techniki szlifierskiej, następuje etap końcowej obróbki nawierzchni metodą polerowania, aż do uzyskania estetycznej i błyszczącej powierzchni. Proces ten polega na polerowaniu nawierzchni z użyciem diamentowych tarcz polerskich o rosnącym stopniu gradacji. Ostatnią fazę stanowi wybłyszczenie nawierzchni przy użyciu tarcz z naturalnego włosia oraz wybłyszczającego preparatu krzemianowo litowego. Na suchą, czystą i odkurzoną powierzchnię posadzki nanosi się za pomocą mopa mikrofibrowego preparat wybłyszczający, a następnie poleruje z użyciem delikatnego padu polerskiego, który podnosi temperaturę polerowanego podłoża do ok. 30°C. Temperatura ta warunkuje uzyskanie efektu wybłyszczenia nawierzchni, a także stopnia oczekiwanego połysku.</p><p>Dzięki niewielkim rozmiarom molekularnym, preparat wybłyszczający na bazie krzemianu litu i modyfikowanych kopolimerów TerraCoat głęboko penetruje matrycę betonową, tworząc tzw. formułę mikrozbrojeniapowierzchniowego, które zapewnia wysoką odporność chemiczną i fizyczną, dodatkowo utwardza i uszczelniapowierzchnię posadzki, a także tworzy zwartą, niepylącą strukturę. W wyniku zastosowania ultranowoczesnej mieszaniny związków organicznych i nieorganicznych, preparat wybłyszczający zapewnia długotrwałą, bezproblemową eksploatację posadzki, poprzez wysoką odporność na powstawanie plam, znakomitą antypoślizgowość oraz idealny połysk. Preparat pozwala na uzyskanie tzw. efektu lustra.</p>",,
,,Podłoga na gruncie (lub strop nad pomieszczeniem nieogrzewanym),zB_PODŁOGA,,,"<p>Warstwa wyrównująca</p><p>Tworzy ją 15-20 cm podsypka (piasek, żwir lub pospółka), która jest podbudową dla płyty betonowej podłogi. Podsypkę układa się na wstępnie wyrównanym podłożu, a jej poszczególne warstwy dokładnie zagęszcza mechanicznie.</p><p>Podsypka może być jednocześnie warstwą termoizolacyjną, jeśli zastosujemy keramzyt. Ponieważ jego właściwości izolacyjne są gorsze niż właściwości styropianu, należy</p><p>stworzyć z niego warstwę 2,5 do 3 razy grubszą, niż standardowa grubość płyt styropianowych, które keramzyt ma zastąpić. Ocieplenie z keramzytu będzie jednak droższe od płyt styropianowych. Gdy konieczna jest gruba warstwa podsypki, keramzyt może zastąpić beton stabilizujący podłoże gruntowe oraz podsypka piaskowa wyrównującą poziom podłogi, różnica w kosztach wykonania będzie dużo mniejsza.</p><p>Warstwa konstrukcyjna z betonu</p><p>Układa się ją z gęstej mieszanki betonowej. Stanowi ona konstrukcyjne oparcie dla wszystkich kolejnych warstw podłogi. Najczęściej jest to płyta betonowa grubości</p><p>10–20 cm z betonu klasy min. C8/10 (dawniej B10). Płytę dość często zbroi się siatkami z prętów stalowych (zwłaszcza na brzegach, w rejonie przerw dylatacyjnych oraz pod ścianami wewnętrznymi) lub stosuje zbrojenie zwane rozproszonym (do betonu dodaje się włókna stalowe, powstaje wówczas tzw. fibrobeton lub włóknobeton).</p><p>Izolacja przeciwwilgociowa</p><p>Izolacja ta chroni pomieszczenia przed wilgocią z gruntu. Do tego celu wykorzystuje się głównie folię lub papę. Izolację przeciwwilgociową trzeba połączyć z izolacją poziomą ścian fundamentowych. Izolacja przeciwwilgociowa musi być dostosowana do lokalnych warunków gruntowo-wodnych panujących na działce.</p><p>Izolacja termiczna</p><p>Jej rodzaj i grubość zależy od tego, czy podłoga będzie ogrzewana i od tego, w jakim standardzie energetycznym wznoszony jest dom. W budynkach projektowanych zgodnie z obowiązującymi przepisami, za wystarczającą uznaje się 10-15-centymetrową warstwę styropianu (twardej odmiany dach/podłoga) albo polistyrenu ekstrudowanego (jest prawie nienasiąkliwy i dość odporny na uszkodzenia mechaniczne). W domach budowanych zgodnie z zasadami energooszczędności, warstwę izolacji termicznej trzeba zwiększyć do 20 cm, a w domach pasywnych jeszcze bardziej. Styropian układa się w dwóch warstwach, z których druga, wierzchnia powinna przykrywać styki warstwy pierwszej - spodniej.</p><p>Warstwa podkładowa</p><p>Najczęściej tworzą ją tzw. płynne jastrychy:</p><p>- cementowy - wytrzymały, odporny na zawilgocenie, na dużych powierzchniach wymaga wykonania dylatacji; - anhydrytowy - o dobrych parametrach mechanicznych i temperaturowych; nie wymaga wykonywania dylatacji nawet przy dużych powierzchniach, nie jest jednak odporny na wilgoć. Inne rozwiązanie stanowią tzw. suche podkłady, wśród których najpopularniejsze są suche jastrychy gipsowe - jedno- lub dwuwarstwowe płyty gipsowo-kartonowe lub gipsowo-włóknowe. Płyty są lekkie, łatwe w montażu, a od razu po ułożeniu podłoże jest gotowe do kolejnych prac. Kolejną możliwość dają wylewki samopoziomujące, które tworzą gładką i równą powierzchnię, niewymagającą dodatkowego formowania.</p><p>Warstwa wykończeniowa, czyli posadzka</p><p>Dobiera się ją w zależności od przeznaczenia pomieszczeń. W korytarzach, łazienkach, kuchniach, pomieszczeniach gospodarczych najczęściej stosuje się posadzki z materiałów odpornych na ścieranie, nienasiąkliwych i łatwych do utrzymania w czystości: gresu, płytek ceramicznych lub kamiennych. W pokojach mieszkalnych układa się posadzki drewniane, panele drewniane lub laminowane, laminowane, wykładziny dywanowe oraz dywany. W pomieszczeniach technicznych lub w garażu, zamiast okładzin ceramicznych, można utworzyć gładkie bezspoinowe posadzki betonowe, malowane farbami albo wykonane z żywic epoksydowych.</p>",,
