number;question;kategoria;zestaw;rating;answer
47;"Proszę
omówić rodzaje i sposoby rozwiązań wybranych elewacji systemowych, dla
budynków użyteczności publicznej, ilustrując wypowiedź
szkicami.";P;Z24;;"</h2>
<p>Elewacja wentylowana – np. z płyty włókno cementowej albo HPL
(elementy laminowane) lub Okładzina ceramiczna</p>
<p>Ściana osłonowa, kurtynowa -<img src=""https://adriansstudia.github.io/UB2024-APP/images/image_8.png"" style=""width:2.46314in;height:2.15893in""/></p>
<p><img src=""https://adriansstudia.github.io/UB2024-APP/images/image_6.png"" style=""width:2.3262in;height:2.48918in""/></p>
<p>Płyty warstwowe –</p>
<p><img src=""https://adriansstudia.github.io/UB2024-APP/images/image_4.png"" style=""width:2.47203in;height:2.14468in""/></p></th>"
48;"Jakie
roboty nie wymagają decyzji o ustaleniu warunków zabudowy w przypadku
braku planu miejscowego?";L;Z24;;WRÓCIĆ
50;"Jak
wyznaczamy odległość budynku z pomieszczeniami na pobyt ludzi od innych
obiektów umożliwiającą naturalne oświetlenie tych pomieszczeń?";P;Z25;;Jak w zestawie 1.
51;"Proszę
omówić i zilustrować szkicami sposoby zabezpieczenia przed wilgocią i
korozją biologiczną podziemnych i nadziemnych ścian budynku";P;Z25;;Jak w zestawie 1.
52;"Proszę
omówić wymagania dotyczące formy i zakresu strony tytułowej projektu
budowlanego";L;Z25;;"Rozporządzenie MR w sprawie szczegółowego zakresu i formy projektu
budowlanego §7.2
Na stronie tytułowej zamieszcza się:
- nazwę elementu projektu budowlanego którego ona dotyczy
-informację zamierzenia budowlanego:
- nazwę zamierzenia budowlanego
- adres i kategorię obiektu budowlanego
- identyfikatory działek ewidencyjnych, na których obiekt jest
usytuowany
- imię nazwisko lub nazwę inwestora oraz jego adres
-datę opracowania oraz imię nazwisko, specjalność, nr uprawnień
budowlanych osoby opracowującej daną część wraz z określeniem
zakresu
-podpis osoby ww. przy PZT PAB PT w wersji papierowej
-jeżeli projekt podlega sprawdzeniu to jak wyżej
- jeżeli liczba działek i/lub osób opracowujących nie mieści się na
jednej stronie dopuszcza się zał. Dos trony tytułowej
- w przypadku podziału na tomy umieszcza się numer tomu z informacją o
łącznej liczbie tomów"
54;"Proszę
przedstawić sposób w jaki architekt „uwzględnił” w projekcie zagadnienia
związane z wyposażeniem projektowanego budynki w instalacje i urządzenia
elektryczne";P;Z27;;"WT Rozdział 8 Instalacja elektryczna §180
- w budynkach w których zanik napięcia może spowodować zagrożenie życia
ludzi należy zasilać z co najmniej dwóch niezależnych ścieżek.
- Awaryjne oświetlenie zapasowe w których po zaniku oświetlenia istnieje
konieczność kontynuowania czynności w sposób niezmieniony.
- Awaryjne oświetlenie ewakuacyjne należy stosować w kinach teatrach i
salach widowiskowych, wystawach w muzeach, w garażach oświetlonych
wyłącznie światłem sztucznym o pow pow. 1000m2, UP,ZB PM o powierzchni
netto pow 2000m2. Na drogach ewakuacyjnych.
AWE powinno działać przez co najmniej 1 godzinę

Pomieszczenie stacji transformatorowej może być w budynkach jeżeli
(zapewniona jest odpowiednia konstrukcja chroniąca przed drganiami i
hałasem) oraz pionowa i pozioma odległość od pomieszczeń przeznaczonych
na pobyt ludzi min 2,8m. ściany i stropy będą miały zabezpieczenia przed
przedostawaniem się cieczy i gazów

PWP należy stosować w budynkach przekraczających 1000m3. Powinien być
umieszczony w pobliżu głównego wyjścia i odpowiednio oznakowany

Główne ciągi instalacji elektrycznej należy prowadzić poza mieszkaniami
i pomieszczeniami na stały pobyt ludzi w wydzielonych kanałach lub
szybach instalacyjnych."
55;"Proszę
wykonać szkic klatki schodowej, jednobiegowej w budynku ośrodku
zdrowia.
Klatka stanowi ewakuację dla 312 osób, wysokość do pokonania to
3,75m.
Następnie przedstawić zasady projektowania schodów i klatek w budynkach
użyteczności publicznej.";P;Z27;;"WT Rozdział 4 schody i pochylnie
375cm:15cm=25 st
szerokość biegu 0,6m-100os proporcjonalnie 1,872m na 312 osób ale bym
przyjął 2,4m"
56;"Proszę
omówić wymagania dotyczące formy i zakresu rysunków wchodzących w skład
projektu budowlanego.";L;Z27;;
58;"Do
jakich obiektów koniecznie jest doprowadzanie drogi
pożarowej?";PŻ;Z28;;"Rozporządzenie MSWiA w sprawie przeciwpożarowego zaopatrzenia w wodę
oraz dróg publicznych
Rozdział 6.
Drogi pożarowe o utwardzonej nawierzchni należy zapewnić:
- budynku ZL I i ZL II
- budynku SW W WW zawierającego strefę ZL III ZL IV ZLV
- budynku PM jeżeli Q <500 MJ/m2 i powierzchnia strefa pożarowa
1000m2 lub jest strefa zagrożona wybuchem
- budynku PM jeżeli Q <500 MJ/m2 i powierzchnia przekracza
20000m2
- budynku N ZL III powyżej 1000m2 nadziemna inna niż 1, ZL V mająca
ponad 50 miejsc noclegowych"
59;"Proszę
przedstawić zagadnienia związane z projektowaniem tzw. dachów zielonych,
wypowiedź ilustrując szkicami";P;Z28;;Jak w zestawie 23.
60;"Proszę
omówić wymagania dotyczące formy i zakresu części opisowej projektu
zagospodarowania terenu.";L;Z28;;Jak w zestawie 5.
62;"Proszę
omówić warunki i zasady usytuowania miejsc postojowych dla samochodów na
obszarze projektowanego osiedla domów mieszkalnych
wielorodzinnych.";L;Z31;;Aaaa
63;"Proszę
naszkicować przykładowe rozwiązanie pomieszczenia
higieniczno-sanitarnego dla osób niepełnosprawnych i na jego przykładzie
omówić problematykę projektowania takich miejsc.";P;Z31;;"</h2>
<p><img src=""https://adriansstudia.github.io/UB2024-APP/images/image_2.png"" style=""width:2.36672in;height:2.34883in""/></p></th>"
64;"Proszę
omówić wymagania dotyczące formy i zakresu strony tytułowej projektu
budowlanego.";L;Z31;;Jak w zestawie 25.
66;"Proszę
omówić problematykę usytuowania budynków w stosunku do granicy z działką
sąsiednią budowlaną.";L;Z33;;"WT Rozdział 1 usytuowanie budynku
- 4m od granicy ścianą z otworami, 3 m ścianą bez otworów.
-1,5 m daszki gzymsu
Jeżeli MPZP dopuszcza to budynek może być 1,5m.
Odległości do całkowicie podziemnej części budynku nie ustala się.
Zachowanie tych odległości nie jest wymagane gdy sąsiaduje się z działka
drogową.

Odległość budynku ze względu na nasłonecznienie."
67;"Proszę
omówić zagadnienia funkcjonalno-przestrzenne projektowania Sali
gimnastycznej wypowiedź ilustrując szkicami";P;Z33;;
68;"Jakie
dokumenty należy dołączyć do wniosku na rozbiórkę?";L;Z33;;"Prawo Budowlane Art. 30b.
- Rozbiórkę można rozpocząć po uzyskaniu decyzji na rozbiórkę, wydaje ją
organ AAB.
Do wniosku na rozbiórkę dołącza się:
-zgodę właściciela obiektu lub jej kopię.
- szkic usytuowania obiektu budowlanego
- opis zakresu i sposobu przeprowadzenia robót rozbiórkowych
- opis sposobu zapewnienia bezpieczeństwa ludzi i mienia
- pozwolenia uzgodnienia opinie i inne dokumenty których wniosek wynika
z odrębnych przepisów
- projekt rozbiórki lub jego kopię
Nie wymaga decyzji o pozwoleniu na rozbiórkę, ale wymaga zgłoszenia,
rozbiórka do 8m i odległość do granicy nie mniejsza niż połowa
wysokości.
Nie wymaga decyzji ani zgłoszenia rozbiórka, na które nie jest wymagane
pozwolenie na budowę i na terenach zamkniętych ustalonych decyzją
MON"
70;"Proszę
omówić warunki techniczne związane z usytuowaniem budynku na działce
budowlanej w stosunku do obiektów położonych na działkach
sąsiednich";L;Z34;;Jak w zestawie 33.
71;"Proszę
omówić zagadnienia funkcjonalno przestrzenne projektowania mieszkań i
budynków odpowiedź ilustrując szkicami";P;Z34;;
72;"Kiedy
konieczne jest uzyskanie pozwolenia na użytkowanie obiektu i jakie
dokumenty należy zgromadzić aby je uzyskać?";L;Z34;;"PB Art. 55 i Art. 57
Pozwolenie na użytkowanie należy uzyskać jeżeli:
-budynek należy do kategorii V, IX-XVI, XVIII, XX,XXII, XXIV, XXVII,
XXVIII-XXX
-przystąpienie do użytkowania ma nastąpić przed wykonaniem wszystkich
robót budowlanych

Do zawiadomienia o zakończeniu budowy lub uzyskania pozwolenia na
użytkowanie należy dołączyć:
- oryginał dziennika budowy
-oświadczenie kierownika budowy: o zgodności wykonania obiektu
budowlanego z projektem oraz przepisami, o doprowadzeniu do należytego
stanu i porządku na terenie budowy a także – w razie korzystania- drogi
ulicy sąsiedniej nieruchomości.
-protokoły badań i sprawdzeń: przyłączy i instalacji, zapewniających
użytkowanie obiektu budowlanego zgodnie z przeznaczeniem
-dokumentację geodezyjną, z inwentaryzacją powykonawczą
- potwierdzenie zgodnie z odrębnymi przepisami, odbioru wykonanych
przyłączy"
74;"Proszę
omówić zasady stosowania dźwigów towarowych w budynku użyteczności
publicznej.";P;Z41;;"PB §193
- co najmniej jeden z dźwigów powinien powinien być przystosowany do
przewozu mebli, chorych na noszach i osób niepełnosprawnych.
- dostęp do dźwigu powinien być zapewniony z każdej kondygnacji
użytkowej.
- różnica między podłogą dźwigu a podłogą kondygnacji nie powinna być
większa niż 0,02m
- odległość pomiędzy zamkniętymi drzwiami dźwigu a przeciwległą ścianą
powinna wynosić co najmniej – dla dźwigów towarowych i szpitalnych -3m,
towarowych małych – 1,8 m a osobowych 1,6m"
75;"Proszę
omówić problemy projektowania Sali kinowej, ilustrując wypowiedź
szkicami";P;Z41;;"WT §181
- budynek w którym zanik napięcia w sieci elektrycznej może spowodować
zagrożenie życia lub zdrowia—należy zasilać z co najmniej dwóch
niezależnych, samoczynnie załączających się źródeł.
W kinach teatrach należy stosować oświetlenie awaryjne."
76;"Proszę
omówić wymagania dotyczące formy i zakresu części rysunkowej projektu
zagospodarowania terenu.";L;Z41;;
78;"Proszę
omówić zasady i warunki dotyczące zastosowania dźwigów osobowych w
budynku biurowym zaliczanym do grupy WW";P;Z46;;"WT §253
W budynku mającym posadzkę powyżej 25m nap ppp przynajmniej jeden dźwig
powinien być przystosowany do potrzeb ekipy ratowniczej spełniając
wymagania PN dla dźwigów straży pożarnej. Dźwig powinien zapewniać
dostęp do każdej strefy pożarowej bezpośrednio lub drogami komunikacji
ogólnej.
Dojście do dźwigu powinno prowadzić przez przedsionek przeciwpożarowy
spełniający wymagania §232 (stropy i ściany z materiałów niepalnych,
otwory z przedsionkami ppoż.
Ściany i stropy powinny mieć klasę odporności wymaganą dla budynku
zgodnie z §216
Szyb dźwigu dla ekip powinien być wyposażony w urządzenia zapobiegające
zadymieniu."
79;"Proszę
omówić i zilustrować problemy z miejscami gromadzenia odpadów w
zabudowie jednorodzinnej.";P;Z46;;"Odległość miejsca gromadzenia odpadów co najmniej 10 m- od okien i
drzwi na stały pobyt ludzi
3m od granicy działki
10 m od placów zabaw i miejsc rekreacji.
Zachowanie w odległości nie jest wymagane jeżeli stykają się z podobnymi
na działce sąsiedniej.
W przypadku zabudowy jednorodzinnej, zagrodowej, odległości nie określa
się."
80;"Proszę
omówić sposób wyznaczania elewacji frontowej działce objętej wnioskiem o
ustalenie wz";L;Z46;;"Na podstawie średniej wartości szerokości elewacji frontowych
istniejącej zabudowy na działkach w obszarze analizowanym z tolerancją
ok 20%"
82;"Podany
był przekrój przez salę sportową, omówić zagadnienie widoczności,
uzupełnić rysunek, co to jest przewyżka";P;D_Z1;;uwaga: Neufert - urządzenia sportowe
83;"Klasyfikacja
ppoż: kamienica, 4 kondygnacje po 3,5 m, wysokość budynku 15,6
m";PŻ;D_Z1;;"uwaga: budynek mieszkalny, więc mimo, że powyżej 12 m to niski i
ZL IV"
84;"Odpowiedzialność
zawodowa architektów";L;D_Z1;;Rozp. o samorządach + Prawo Budowlane rozdział 10 + o OC
